SID,SEASON_year,NUMBER,BASIN,SUBBASIN,storm_name,ISO_TIME,NATURE,LAT(degrees_north),LON(degrees_east),WMO_WIND(kts),WMO_PRES(mb),WMO_AGENCY,TRACK_TYPE,DIST2LAND(km)
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-11T00:00:00Z,TS,8.9,-111,30,NA,hurdat_epa,main,1327
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-11T06:00:00Z,TS,8.7000299999999999,-111.815,30,NA,hurdat_epa,main,1396
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-11T12:00:00Z,TS,8.5,-112.8,30,NA,hurdat_epa,main,1476
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-11T18:00:00Z,TS,8.3075500000000009,-113.71299999999999,45,NA,hurdat_epa,main,1552
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-12T00:00:00Z,TS,8.4,-114.5,45,NA,hurdat_epa,main,1598
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-12T06:00:00Z,TS,8.8997100000000007,-114.711,55,NA,hurdat_epa,main,1570
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-12T12:00:00Z,TS,9.5,-114.8,60,NA,hurdat_epa,main,1528
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-12T18:00:00Z,TS,9.9,-114.9,70,NA,hurdat_epa,main,1504
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-13T00:00:00Z,TS,10.199999999999999,-115.2,70,NA,hurdat_epa,main,1503
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-13T06:00:00Z,TS,10.785,-115.97499999999999,70,NA,hurdat_epa,main,1496
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-13T12:00:00Z,TS,11.4,-116.8,75,NA,hurdat_epa,main,1475
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-13T18:00:00Z,TS,12.0984,-117.78,85,NA,hurdat_epa,main,1463
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-14T00:00:00Z,TS,12.8,-118.7,100,NA,hurdat_epa,main,1456
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-14T06:00:00Z,TS,13.41,-119.886,95,NA,hurdat_epa,main,1490
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-14T12:00:00Z,TS,14.1,-121,90,NA,hurdat_epa,main,1507
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-14T18:00:00Z,TS,14.8843,-122.099,85,NA,hurdat_epa,main,1513
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-15T00:00:00Z,TS,15.5,-123.2,70,NA,hurdat_epa,main,1547
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-15T06:00:00Z,TS,16.174900000000001,-124.31399999999999,65,NA,hurdat_epa,main,1583
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-15T12:00:00Z,TS,16.5,-125.6,65,NA,hurdat_epa,main,1659
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-15T18:00:00Z,TS,16.8704,-126.819,50,NA,hurdat_epa,main,1709
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-16T00:00:00Z,TS,16.899999999999999,-128.19999999999999,45,NA,hurdat_epa,main,1814
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-16T06:00:00Z,TS,17.005400000000002,-129.41800000000001,35,NA,hurdat_epa,main,1900
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-16T12:00:00Z,TS,17.2,-130.69999999999999,30,NA,hurdat_epa,main,1991
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-16T18:00:00Z,TS,17.5928,-131.71700000000001,30,NA,hurdat_epa,main,2048
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-17T00:00:00Z,TS,17.899999999999999,-132.80000000000001,30,NA,hurdat_epa,main,2123
1980161N09249,1980,39,EP,MM,AGATHA,1980-06-17T06:00:00Z,TS,18.084099999999999,-133.79300000000001,25,NA,hurdat_epa,main,2199
