"SID","storm_name","year","Max_Wind_Speed"
"1985157N16259","ANDRES",1985,60
"1985158N10267","BLANCA",1985,105
"1985159N09241","CARLOS",1985,35
"1985177N10258","DOLORES",1985,100
"1985178N10236","ENRIQUE",1985,35
"1985184N15258","FEFA",1985,60
"1985189N12260","GUILLERMO",1985,50
"1985197N29296","ANA",1985,60
"1985199N18248","HILDA",1985,35
"1985201N12256","JIMENA",1985,115
"1985202N13226","IGNACIO",1985,115
"1985202N26275","BOB",1985,65
"1985210N14257","KEVIN",1985,55
"1985211N12237","LINDA",1985,45
"1985219N14254","MARTY",1985,65
"1985222N32280","CLAUDETTE",1985,75
"1985224N18279","DANNY",1985,80
"1985232N16248","NORA",1985,40
"1985234N13258","OLAF",1985,75
"1985240N16256","PAULINE",1985,75
"1985240N20286","ELENA",1985,110
"1985244N14254","RICK",1985,125
"1985249N13265","SANDRA",1985,110
"1985252N20333","NOT_NAMED",1985,30
"1985255N12300","NOT_NAMED",1985,30
"1985259N12262","TERRY",1985,100
"1985259N24289","FABIAN",1985,55
"1985260N13336","GLORIA",1985,125
"1985261N13243","VIVIAN",1985,35
"1985265N30286","HENRI",1985,50
"1985280N15254","WALDO",1985,90
"1985280N18291","ISABEL",1985,60
"1985298N12249","XINA",1985,100
"1985299N25270","JUAN",1985,75
"1985320N21296","KATE",1985,105
"1985342N11283","NOT_NAMED",1985,30
"1986036S16187","IMA",1986,90
"1986036S19216","JUNE",1986,55
"1986142N13253","AGATHA",1986,65
"1986156N26284","ANDREW",1986,45
"1986169N09247","BLAS",1986,35
"1986175N26273","BONNIE",1986,75
"1986176N11262","CELIA",1986,75
"1986185N14256","DARBY",1986,35
"1986198N10245","ESTELLE",1986,115
"1986205N24305","NOT_NAMED",1986,30
"1986206N11265","FRANK",1986,75
"1986209N12213","NOT_NAMED",1986,30
"1986211N12219","NOT_NAMED",1986,30
"1986216N24267","NOT_NAMED",1986,30
"1986226N30276","CHARLEY",1986,70
"1986229N17256","HOWARD",1986,35
"1986232N15246","ISIS",1986,45
"1986233N10263","JAVIER",1986,115
"1986241N18248","KAY",1986,40
"1986243N13326","NOT_NAMED",1986,30
"1986245N18274","NOT_NAMED",1986,30
"1986250N11308","DANIELLE",1986,50
"1986254N22309","EARL",1986,90
"1986257N14230","LESTER",1986,45
"1986259N13256","MADELINE",1986,60
"1986262N12266","NEWTON",1986,75
"1986264N12221","ORLENE",1986,70
"1986271N12267","PAINE",1986,85
"1986289N10267","ROSLYN",1986,125
"1986323N23297","FRANCES",1986,75
"1986360S13195","SALLY",1987,50
"1987059S12196","NOT_NAMED",1987,30
"1987145N21292","NOT_NAMED",1987,30
"1987159N12264","ADRIAN",1987,40
"1987185N13244","BEATRIZ",1987,45
"1987187N13258","CALVIN",1987,55
"1987196N15258","DORA",1987,50
"1987203N11263","EUGENE",1987,85
"1987205N12229","FERNANDA",1987,55
"1987209N12259","GREG",1987,70
"1987213N11268","HILARY",1987,105
"1987216N10270","IRWIN",1987,55
"1987220N34283","ARLENE",1987,65
"1987222N26266","NOT_NAMED",1987,40
"1987225N13313","NOT_NAMED",1987,30
"1987226N13241","JOVA",1987,90
"1987230N15340","BRET",1987,45
"1987238N10213","OKA",1987,40
"1987241N10241","KNUT",1987,35
"1987242N13257","LIDIA",1987,75
"1987243N14328","NOT_NAMED",1987,30
"1987249N13297","NOT_NAMED",1987,30
"1987249N15329","CINDY",1987,45
"1987250N29282","NOT_NAMED",1987,30
"1987252N11342","DENNIS",1987,45
"1987253N11260","MAX",1987,135
"1987257N14306","NOT_NAMED",1987,30
"1987258N15253","NORMA",1987,65
"1987263N10241","OTIS",1987,100
"1987263N10309","EMILY",1987,110
"1987274N21249","PILAR",1987,35
"1987279N12256","RAMON",1987,120
