SEASON_year,NATURE,SID,Storm_Count
1985,ET,1985197N29296,1
1985,ET,1985222N32280,1
1985,ET,1985224N18279,1
1985,ET,1985260N13336,1
1985,ET,1985280N15254,1
1985,ET,1985299N25270,1
1985,ET,1985320N21296,1
1985,SS,1985222N32280,1
1985,TS,1985157N16259,1
1985,TS,1985158N10267,1
1985,TS,1985159N09241,1
1985,TS,1985177N10258,1
1985,TS,1985178N10236,1
1985,TS,1985184N15258,1
1985,TS,1985189N12260,1
1985,TS,1985197N29296,1
1985,TS,1985199N18248,1
1985,TS,1985201N12256,1
1985,TS,1985202N13226,1
1985,TS,1985202N26275,1
1985,TS,1985210N14257,1
1985,TS,1985211N12237,1
1985,TS,1985219N14254,1
1985,TS,1985222N32280,1
1985,TS,1985224N18279,1
1985,TS,1985232N16248,1
1985,TS,1985234N13258,1
1985,TS,1985240N16256,1
1985,TS,1985240N20286,1
1985,TS,1985244N14254,1
1985,TS,1985249N13265,1
1985,TS,1985252N20333,1
1985,TS,1985255N12300,1
1985,TS,1985259N12262,1
1985,TS,1985259N24289,1
1985,TS,1985260N13336,1
1985,TS,1985261N13243,1
1985,TS,1985265N30286,1
1985,TS,1985280N15254,1
1985,TS,1985280N18291,1
1985,TS,1985298N12249,1
1985,TS,1985299N25270,1
1985,TS,1985320N21296,1
1985,TS,1985342N11283,1
1986,ET,1986226N30276,1
1986,ET,1986254N22309,1
1986,ET,1986289N10267,1
1986,NR,1986036S16187,1
1986,NR,1986209N12213,1
1986,NR,1986211N12219,1
1986,SS,1986156N26284,1
1986,SS,1986226N30276,1
1986,TS,1986036S16187,1
1986,TS,1986036S19216,1
1986,TS,1986142N13253,1
1986,TS,1986156N26284,1
1986,TS,1986169N09247,1
1986,TS,1986175N26273,1
1986,TS,1986176N11262,1
1986,TS,1986185N14256,1
1986,TS,1986198N10245,1
1986,TS,1986205N24305,1
1986,TS,1986206N11265,1
1986,TS,1986216N24267,1
1986,TS,1986226N30276,1
1986,TS,1986229N17256,1
1986,TS,1986232N15246,1
1986,TS,1986233N10263,1
1986,TS,1986241N18248,1
1986,TS,1986243N13326,1
1986,TS,1986245N18274,1
1986,TS,1986250N11308,1
1986,TS,1986254N22309,1
1986,TS,1986257N14230,1
1986,TS,1986259N13256,1
1986,TS,1986262N12266,1
1986,TS,1986264N12221,1
1986,TS,1986271N12267,1
1986,TS,1986289N10267,1
1986,TS,1986323N23297,1
1987,DS,1987220N34283,1
1987,ET,1987220N34283,1
1987,ET,1987249N15329,1
1987,ET,1987252N11342,1
1987,ET,1987263N10309,1
1987,ET,1987282N15277,1
1987,NR,1986360S13195,1
1987,NR,1987059S12196,1
1987,TS,1986360S13195,1
1987,TS,1987145N21292,1
1987,TS,1987159N12264,1
1987,TS,1987185N13244,1
1987,TS,1987187N13258,1
1987,TS,1987196N15258,1
1987,TS,1987203N11263,1
1987,TS,1987205N12229,1
1987,TS,1987209N12259,1
1987,TS,1987213N11268,1
1987,TS,1987216N10270,1
1987,TS,1987220N34283,1
1987,TS,1987222N26266,1
1987,TS,1987225N13313,1
1987,TS,1987226N13241,1
1987,TS,1987230N15340,1
1987,TS,1987238N10213,1
1987,TS,1987241N10241,1
1987,TS,1987242N13257,1
1987,TS,1987243N14328,1
1987,TS,1987249N13297,1
1987,TS,1987249N15329,1
1987,TS,1987250N29282,1
1987,TS,1987252N11342,1
1987,TS,1987253N11260,1
1987,TS,1987257N14306,1
1987,TS,1987258N15253,1
1987,TS,1987263N10241,1
1987,TS,1987263N10309,1
1987,TS,1987274N21249,1
1987,TS,1987279N12256,1
1987,TS,1987282N15277,1
1987,TS,1987300N10239,1
1987,TS,1987305N17283,1
1988,DS,1988234N13339,1
1988,DS,1988285N09318,1
1988,ET,1988219N32283,1
1988,ET,1988235N15317,1
1988,ET,1988253N12306,1
1988,ET,1988264N13328,1
1988,ET,1988323N15286,1
1988,NR,1988058S19198,1
1988,TS,1988058S19198,1
1988,TS,1988153N20275,1
1988,TS,1988168N13248,1
1988,TS,1988169N14259,1
1988,TS,1988173N12268,1
1988,TS,1988184N19251,1
1988,TS,1988191N13256,1
1988,TS,1988202N15248,1
1988,TS,1988210N14251,1
1988,TS,1988211N12239,1
1988,TS,1988211N15225,1
1988,TS,1988211N18230,1
1988,TS,1988213N11262,1
1988,TS,1988218N13264,1
1988,TS,1988219N32283,1
1988,TS,1988221N30270,1
1988,TS,1988226N25286,1
1988,TS,1988227N18250,1
1988,TS,1988230N18254,1
1988,TS,1988234N13299,1
1988,TS,1988234N13339,1
1988,TS,1988235N15317,1
1988,TS,1988240N15248,1
1988,TS,1988242N13262,1
1988,TS,1988245N20269,1
1988,TS,1988247N33300,1
1988,TS,1988248N28267,1
1988,TS,1988251N13343,1
1988,TS,1988251N23268,1
1988,TS,1988253N12306,1
1988,TS,1988257N16252,1
1988,TS,1988264N13328,1
1988,TS,1988265N12218,1
1988,TS,1988265N13263,1
1988,TS,1988272N12339,1
1988,TS,1988273N09315,1
1988,TS,1988285N09318,1
1988,TS,1988285N18251,1
1988,TS,1988294N13287,1
1988,TS,1988323N15286,1
1989,ET,1989176N27264,1
1989,ET,1989212N15318,1
1989,ET,1989238N17339,1
1989,ET,1989254N13340,1
1989,NR,1989052S27233,1
1989,NR,1989193N13220,1
1989,NR,1989195N10219,1
1989,NR,1989227N13261,1
1989,TS,1989052S27233,1
1989,TS,1989150N09257,1
1989,TS,1989165N11255,1
1989,TS,1989167N21266,1
1989,TS,1989169N13265,1
1989,TS,1989176N27264,1
1989,TS,1989190N08231,1
1989,TS,1989190N09240,1
1989,TS,1989190N13261,1
1989,TS,1989191N13322,1
1989,TS,1989196N14250,1
1989,TS,1989200N12236,1
1989,TS,1989205N13260,1
1989,TS,1989210N14259,1
1989,TS,1989212N15318,1
1989,TS,1989212N23270,1
1989,TS,1989221N16339,1
1989,TS,1989227N12236,1
1989,TS,1989227N13261,1
1989,TS,1989230N14338,1
1989,TS,1989234N16244,1
1989,TS,1989238N17339,1
1989,TS,1989238N22253,1
1989,TS,1989239N13312,1
1989,TS,1989240N14256,1
1989,TS,1989241N13265,1
1989,TS,1989243N12339,1
1989,TS,1989246N14263,1
1989,TS,1989252N11260,1
1989,TS,1989254N13340,1
1989,TS,1989260N11316,1
1989,TS,1989260N13264,1
1989,TS,1989268N14261,1
1989,TS,1989269N14267,1
1989,TS,1989275N12317,1
1989,TS,1989277N13257,1
1989,TS,1989286N19268,1
1989,TS,1989287N11259,1
1989,TS,1989289N16243,1
1989,TS,1989333N17276,1
1990,DS,1990224N09328,1
1990,ET,1990206N34285,1
1990,ET,1990215N38337,1
1990,ET,1990236N13314,1
1990,ET,1990247N07337,1
1990,ET,1990279N36316,1
1990,ET,1990283N23281,1
1990,NR,1990222N11219,1
1990,SS,1990206N34285,1
1990,SS,1990215N38337,1
1990,SS,1990279N36316,1
1990,TS,1990043S09206,1
1990,TS,1990133N09259,1
1990,TS,1990145N19276,1
1990,TS,1990154N11260,1
1990,TS,1990160N12250,1
1990,TS,1990170N13260,1
1990,TS,1990177N14257,1
